Script: Ckl_RelatorioDesvios_New
Data de execução: 2024-10-01
Hora de inicio: 13-08-07
========================================
Executando "Ckl_RelatorioDesvios_New"...
========================================

Conexão ao MySQL estabelecida com sucesso.
A requisição para o ID 114713870 falhou com o status code: 404
IDs retornados na página 1: 1000
IDs já registrados no banco de dados: 1419
Novos registros a serem registrados: 1
Registrando ID 118963050 (145/189) da página 2
Registrando ID 118979563 (146/189) da página 2
Registrando ID 118980368 (147/189) da página 2
Registrando ID 118980511 (148/189) da página 2
Registrando ID 118980632 (149/189) da página 2
Registrando ID 118980717 (150/189) da página 2
Registrando ID 118980780 (151/189) da página 2
Registrando ID 118980947 (152/189) da página 2
Registrando ID 118981126 (153/189) da página 2
Registrando ID 118981277 (154/189) da página 2
Registrando ID 118981945 (155/189) da página 2
Registrando ID 118982136 (156/189) da página 2
Registrando ID 118982271 (157/189) da página 2
Registrando ID 118982433 (158/189) da página 2
Registrando ID 118982608 (159/189) da página 2
Registrando ID 118982761 (160/189) da página 2
Registrando ID 118982890 (161/189) da página 2
Registrando ID 119000164 (162/189) da página 2
Registrando ID 119000201 (163/189) da página 2
Registrando ID 119005845 (164/189) da página 2
Registrando ID 119005848 (165/189) da página 2
Registrando ID 119009177 (166/189) da página 2
Registrando ID 119017132 (167/189) da página 2
Registrando ID 119017157 (168/189) da página 2
Registrando ID 119019409 (169/189) da página 2
Registrando ID 119020131 (170/189) da página 2
Registrando ID 119020500 (171/189) da página 2
Registrando ID 119020563 (172/189) da página 2
Registrando ID 119020726 (173/189) da página 2
Registrando ID 119020905 (174/189) da página 2
Registrando ID 119021731 (175/189) da página 2
Registrando ID 119022850 (176/189) da página 2
Registrando ID 119023177 (177/189) da página 2
Registrando ID 119025447 (178/189) da página 2
Registrando ID 119030329 (179/189) da página 2
Registrando ID 119040059 (180/189) da página 2
Registrando ID 119040731 (181/189) da página 2
Registrando ID 119041421 (182/189) da página 2
Registrando ID 119045344 (183/189) da página 2
Registrando ID 119046196 (184/189) da página 2
Registrando ID 119046975 (185/189) da página 2
Registrando ID 119047434 (186/189) da página 2
Registrando ID 119047580 (187/189) da página 2
Registrando ID 119047877 (188/189) da página 2
Registrando ID 119048153 (189/189) da página 2
IDs retornados na página 2: 609
IDs já registrados no banco de dados: 1419
Novos registros a serem registrados: 189
IDs retornados na página 3: 0
IDs já registrados no banco de dados: 1608
Novos registros a serem registrados: 0
Duas páginas consecutivas retornaram 0 IDs. Finalizando o loop.
Conexão ao MySQL fechada.
Processo finalizado.
Novos Processos registrados no Banco: 189


========================================
Hora de fim: 13-16-00
========================================
